"opening_date","opening_date_fmt","month","day","closing_date_fmt"
"January 14, 2022 ","2022-01-14","1","14","2022-03-05"
"January 28, 2021 ","2021-01-28","1","28","2021-02-25"
"January 18, 2020","2020-01-18","1","18","2020-02-26"
"December 30, 2018","2018-12-30","12","30","2019-03-10"
"January 5, 2018","2018-01-05","1","5","2018-02-21"
"January 14, 2017","2017-01-14","1","14","2017-02-18"
"January 23, 2016","2016-01-23","1","23","2016-02-25"
"January 10, 2015","2015-01-10","1","10","2015-03-09"
"December 31, 2013","2013-12-31","12","31","2014-03-11"
"January 18, 2013","2013-01-18","1","18","2013-02-28"
"January 15, 2012","2012-01-15","1","15","2012-02-22"
"January 8, 2011","2011-01-08","1","8","2011-03-06"
"January 14, 2010","2010-01-14","1","14","2010-02-26"
"January 1, 2009","2009-01-01","1","1","2009-03-05"
"January 25, 2008","2008-01-25","1","25","2008-03-05"
"January 26, 2007","2007-01-26","1","26","2007-03-12"
"January 7, 2006","2006-01-07","1","7","2006-03-10"
"December 28, 2004","2004-12-28","12","28","2005-03-16"
"January 14, 2004","2004-01-14","1","14","2004-02-28"
"January 3, 2003","2003-01-03","1","3","2003-03-16"
"February 2, 2002","2002-02-02","2","2","2002-03-08"
"December 29, 2000","2000-12-29","12","29","2001-03-09"
"December 31, 1999","1999-12-31","12","31","2000-02-23"
"January 2, 1999","1999-01-02","1","2","1999-03-16"
"December 21, 1997","1997-12-21","12","21","1998-03-02"
"January 12, 1997","1997-01-12","1","12","1997-03-22"
"January 1, 1996","1996-01-01","1","1","1996-02-23"
"January 1, 1995","1995-01-01","1","1","1995-03-09"
"December 30, 1993","1993-12-30","12","30","1994-03-11"
"December 29, 1992","1992-12-29","12","29","1993-03-01"
"December 28, 1991","1991-12-28","12","28","1992-03-06"
"January 4, 1991","1991-01-04","1","4","1991-03-02"
"December 24, 1989","1989-12-24","12","24","1990-02-22"
"December 23, 1988","1988-12-23","12","23","1989-03-14"
"January 4, 1988","1988-01-04","1","4","1988-03-07"
"January 7, 1987","1987-01-07","1","7","1987-03-02"
"December 27, 1985","1985-12-27","12","27","1986-02-23"
"January 4, 1985","1985-01-04","1","4","1985-02-22"
"December 25, 1983","1983-12-25","12","25","1984-02-17"
"January 2, 1983","1983-01-02","1","2","1983-02-14"
"December 27, 1981","1981-12-27","12","27","1982-02-21"
"December 18, 1980","1980-12-18","12","18","1981-02-17"
"January 1, 1980","1980-01-01","1","1","1980-02-22"
"January 5, 1979","1979-01-05","1","5","1979-02-23"
"December 29, 1977","1977-12-29","12","29","1978-03-09"
"December 14, 1976","1976-12-14","12","14","1977-02-27"
"December 20, 1975","1975-12-20","12","20","1976-02-26"
"December 31, 1974","1974-12-31","12","31","1975-02-28"
"January 1, 1974","1974-01-01","1","1","1974-02-28"
"December 25, 1972","1972-12-25","12","25","1973-02-08"
"December 26, 1971","1971-12-26","12","26","1972-03-25"
"January 18, 1971","1971-01-18","1","18","1971-02-26"
